Name,Parent,Level,Location,Status,CIK
DETLEV LOUIS MOTORRADVERTRIEBSGESELLSCHAFT GMBH,BERKSHIRE HATHAWAY INC,1,Germany,"(4, 'Non-US Company')",
DURACELL CHINA LIMITED,BERKSHIRE HATHAWAY INC,1,China,"(4, 'Non-US Company')",
DURACELL BATTERIES BVBA,BERKSHIRE HATHAWAY INC,1,Belgium,"(4, 'Non-US Company')",
DURACELL INTERNATIONAL OPERATIONS SÀRL,BERKSHIRE HATHAWAY INC,1,Switzerland,"(4, 'Non-US Company')",
DURACELL MANUFACTURING INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
DURACELL U.S. HOLDING LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
DURACELL U.S. OPERATIONS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
ECOWATER SYSTEMS LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
EMPIRE DISTRIBUTORS OF NORTH CAROLINA INC,BERKSHIRE HATHAWAY INC,1,Georgia,"(1, 'Company is not in SEC/Name Misspelled')",
EMPIRE DISTRIBUTORS INC,BERKSHIRE HATHAWAY INC,1,Georgia,"(1, 'Company is not in SEC/Name Misspelled')",
EXSIF WORLDWIDE INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
FARADAY UNDERWRITING LIMITED,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
FLIGHTSAFETY INTERNATIONAL INC,BERKSHIRE HATHAWAY INC,1,New York,"(5, 'Cannot find EX-21.1 for Company')",37481
FLIGHTSAFETY SERVICES CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
"FOREST RIVER MANUFACTURING, LLC",BERKSHIRE HATHAWAY INC,1,Indiana,"(1, 'Company is not in SEC/Name Misspelled')",
FOREST RIVER INC,BERKSHIRE HATHAWAY INC,1,Indiana,"(3, 'Return one result, better check what went wrong')",
FREEDOM WAREHOUSE CORP,BERKSHIRE HATHAWAY INC,1,Nevada,"(1, 'Company is not in SEC/Name Misspelled')",
FREO GROUP PTY LTD,BERKSHIRE HATHAWAY INC,1,Australia,"(4, 'Non-US Company')",
FRUIT OF THE LOOM INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(2, 'Multiple search results found')",
GARAN INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(0, 'Success')",39917
GEICO ADVANTAGE INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
GEICO CASUALTY CO,BERKSHIRE HATHAWAY INC,1,Maryland,"(1, 'Company is not in SEC/Name Misspelled')",
GEICO CHOICE INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
GEICO CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",277795
GEICO GENERAL INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Maryland,"(1, 'Company is not in SEC/Name Misspelled')",
GEICO INDEMNITY CO,BERKSHIRE HATHAWAY INC,1,Maryland,"(1, 'Company is not in SEC/Name Misspelled')",
GEICO SECURE INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
GEN RE INTERMEDIARIES CORP,BERKSHIRE HATHAWAY INC,1,New York,"(4, 'Non-US Company')",
GENERAL RE CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(0, 'Success')",317745
GENERAL RE FINANCIAL PRODUCTS CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
GENERAL RE LIFE CORP,BERKSHIRE HATHAWAY INC,1,Connecticut,"(1, 'Company is not in SEC/Name Misspelled')",
GENERAL REINSURANCE AFRICA LTD,BERKSHIRE HATHAWAY INC,1,South Africa,"(4, 'Non-US Company')",
GENERAL REINSURANCE AG,BERKSHIRE HATHAWAY INC,1,Germany,"(4, 'Non-US Company')",
GENERAL REINSURANCE AUSTRALIA LTD,BERKSHIRE HATHAWAY INC,1,Australia,"(4, 'Non-US Company')",
GENERAL REINSURANCE CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",40799
GENERAL REINSURANCE LIFE AUSTRALIA LTD,BERKSHIRE HATHAWAY INC,1,Australia,"(4, 'Non-US Company')",
GENERAL STAR INDEMNITY CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
GENERAL STAR NATIONAL INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
GENESIS INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
GLOBAL CRANES PTY LTD,BERKSHIRE HATHAWAY INC,1,Australia,"(4, 'Non-US Company')",
GOVERNMENT EMPLOYEES INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Maryland,"(3, 'Return one result, better check what went wrong')",
GRD HOLDINGS CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
H. H. BROWN SHOE CO INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
HELZBERGS DIAMOND SHOPS INC,BERKSHIRE HATHAWAY INC,1,Missouri,"(1, 'Company is not in SEC/Name Misspelled')",
"HENLEY HOLDINGS, LLC",BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
HOMEMAKERS PLAZA INC,BERKSHIRE HATHAWAY INC,1,Iowa,"(1, 'Company is not in SEC/Name Misspelled')",
HOMESERVICES OF AMERICA INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
HUNTINGTON ALLOYS CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
IMC (GERMANY) HOLDINGS GMBH,BERKSHIRE HATHAWAY INC,1,Germany,"(4, 'Non-US Company')",
IMC INTERNATIONAL METALWORKING COMPANIES BV,BERKSHIRE HATHAWAY INC,1,Netherlands,"(4, 'Non-US Company')",
INGERSOLL CUTTING TOOL CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
